draw_idx,number,momentum,gap,markov,pattern,algebraic,lag1,lag2,hmmState,resonance,hit_in_5
102,21,0.0698,0.5357,0.2353,0.2436,0,0,0,0.5000,0,1
102,22,-0.2364,0.7118,0.2377,0.2026,0,0,0,0.5000,0,1
102,23,-0.2539,1.0000,0.2977,0.2783,0,0,1,0.5000,0,1
102,24,0.4302,0.2354,0.2377,0.2727,0,1,0,0.5000,0,1
102,25,-0.2655,0.8047,0.2482,0.2850,0,0,0,0.5000,1,1
102,26,-0.2616,1.0000,0.2667,0.2687,0,1,0,0.5000,0,1
102,27,-0.2539,1.0000,0.2748,0.2823,0,0,0,0.5000,0,1
102,28,0.1027,0.4609,0.1933,0.1867,0,0,1,0.5000,0,0
102,29,-0.2403,0.9628,0.2742,0.2294,0,1,0,0.5000,0,0
102,30,-0.2558,0.7782,0.3106,0.2603,0,0,0,0.5000,0,1
102,31,0.0775,0.2549,0.2197,0.3418,0,1,0,0.5000,0,1
102,32,-0.2694,1.0000,0.2662,0.2732,0,1,0,0.5000,0,0
102,33,0.0601,0.0000,0.2214,0.1974,0,1,1,0.5000,0,1
102,34,-0.2578,1.0000,0.2481,0.2353,0,0,0,0.5000,0,1
102,35,0.1260,0.2146,0.2056,0.1343,0,0,0,0.5000,0,1
102,36,-0.2694,1.0000,0.2734,0.2266,0,0,0,0.5000,0,1
102,37,0.1047,0.2285,0.2458,0.2500,0,0,0,0.5000,0,0
102,38,0.0872,0.2475,0.2441,0.3562,0,0,0,0.5000,0,1
102,39,0.0717,0.0000,0.3134,0.2754,0,0,0,0.5000,0,1
102,40,-0.2422,1.0000,0.2000,0.2385,0,1,0,0.5000,0,1
102,41,0.3895,0.2773,0.2378,0.3043,0,0,0,0.5000,0,1
102,42,0.0853,0.4980,0.2422,0.2609,0,0,0,0.5000,0,1
102,43,0.0988,0.0000,0.2583,0.2985,0,1,0,0.5000,0,1
102,44,-0.2384,0.7219,0.2683,0.2342,0,0,0,0.5000,0,1
102,45,-0.2442,1.0000,0.2540,0.2311,0,1,0,0.5000,0,0
102,46,-0.2461,1.0000,0.2598,0.2579,0,0,0,0.5000,0,1
102,47,-0.2481,1.0000,0.2266,0.2322,0,0,0,0.5000,0,0
102,48,0.1047,0.0000,0.2222,0.2319,0,0,1,0.5000,0,1
102,49,0.0891,0.5020,0.2302,0.1972,0,0,0,0.5000,0,1
104,1,0.1349,0.0000,0.1782,0.2034,0,1,0,0.5000,0,0
104,2,-0.2529,1.0000,0.2692,0.2283,0,1,0,0.5000,0,1
104,3,-0.2490,1.0000,0.2188,0.2740,0,0,0,0.5000,0,1
104,4,0.0979,0.4697,0.2810,0.2239,0,1,0,0.5000,0,1
104,5,0.0960,0.0000,0.2810,0.2581,0,0,0,0.5000,0,1
104,6,0.4429,0.2227,0.1913,0.2778,0,1,0,0.5000,0,1
104,7,0.0668,0.2661,0.2409,0.3210,0,0,1,0.5000,0,1
104,8,-0.2198,0.6601,0.2389,0.2120,0,0,1,0.5000,0,0
104,9,-0.2918,0.8851,0.3200,0.3128,0,0,0,0.5000,0,1
104,10,0.0746,0.2609,0.2932,0.2258,0,0,0,0.5000,0,0
104,11,0.0376,0.5945,0.2434,0.2692,0,0,0,0.5000,0,1
104,12,0.4313,0.0000,0.2833,0.1333,0,0,0,0.5000,0,1
104,13,0.3885,0.0000,0.2606,0.3125,0,0,1,0.5000,0,0
104,14,0.0746,0.2583,0.2256,0.2532,0,0,1,0.5000,0,1
104,15,0.0882,0.2510,0.2143,0.2436,0,0,0,0.5000,0,1
104,16,0.1154,0.2168,0.2054,0.1029,0,1,0,0.5000,0,1
104,17,0.0999,0.0000,0.2689,0.2576,0,0,0,0.5000,1,0
104,18,-0.2685,1.0000,0.3696,0.2409,0,0,0,0.5000,0,0
104,19,0.0707,0.5265,0.3333,0.3030,0,0,0,0.5000,0,1
104,20,0.0201,0.6262,0.3168,0.3457,0,1,0,0.5000,0,1
104,21,0.0687,0.5357,0.2353,0.2436,0,0,0,0.5000,0,0
104,22,-0.2374,0.7118,0.2377,0.2026,0,1,0,0.5000,0,0
104,23,-0.2529,1.0000,0.3000,0.2783,0,0,0,0.5000,0,1
104,24,0.4313,0.2344,0.2397,0.2727,0,1,0,0.5000,0,1
104,25,-0.2665,0.8047,0.2482,0.2880,0,0,0,0.5000,1,0
104,26,-0.2607,1.0000,0.2687,0.2687,0,1,1,0.5000,0,1
104,27,-0.2549,1.0000,0.2748,0.2788,0,0,1,0.5000,0,1
104,28,0.1038,0.4625,0.1949,0.1892,0,0,0,0.5000,0,1
104,29,-0.2393,0.9741,0.2764,0.2304,0,0,0,0.5000,0,1
104,30,-0.2568,0.7782,0.3106,0.2627,0,0,0,0.5000,0,1
104,31,0.0785,0.2539,0.2214,0.3418,0,1,1,0.5000,0,1
104,32,-0.2685,1.0000,0.2681,0.2732,0,1,0,0.5000,0,1
104,33,0.0629,0.0000,0.2174,0.1974,0,0,0,0.5000,0,1
104,34,-0.2588,1.0000,0.2481,0.2353,0,1,0,0.5000,0,1
104,35,0.1252,0.2146,0.2056,0.1343,0,0,0,0.5000,0,1
104,36,-0.2704,1.0000,0.2734,0.2228,0,0,1,0.5000,0,1
104,37,0.1038,0.2285,0.2458,0.2381,0,1,0,0.5000,0,0
104,38,0.0863,0.2475,0.2441,0.3562,0,0,0,0.5000,0,0
104,39,0.0707,0.0000,0.3134,0.2794,0,1,0,0.5000,0,1
104,40,-0.2412,1.0000,0.2016,0.2396,0,0,0,0.5000,0,1
104,41,0.3885,0.2773,0.2378,0.3043,0,1,0,0.5000,0,1
104,42,0.0843,0.4980,0.2422,0.2609,0,0,1,0.5000,0,0
104,43,0.0999,0.0000,0.2605,0.2985,0,1,1,0.5000,0,1
104,44,-0.2393,0.7219,0.2683,0.2364,0,0,0,0.5000,0,1
104,45,-0.2432,1.0000,0.2560,0.2311,0,1,0,0.5000,0,1
104,46,-0.2471,1.0000,0.2598,0.2579,0,1,0,0.5000,0,0
104,47,-0.2490,1.0000,0.2266,0.2322,0,1,0,0.5000,0,0
104,48,0.1057,0.0000,0.2241,0.2319,0,0,0,0.5000,0,1
104,49,0.0882,0.5020,0.2302,0.1972,0,0,0,0.5000,0,1
106,1,0.1361,0.0000,0.1800,0.2034,0,0,0,0.5000,0,1
106,2,-0.2520,1.0000,0.2713,0.2283,0,0,1,0.5000,0,1
106,3,-0.2500,1.0000,0.2188,0.2767,0,0,0,0.5000,0,1
106,4,0.0990,0.4741,0.2833,0.2273,0,0,0,0.5000,0,1
106,5,0.0951,0.0000,0.2810,0.2581,0,0,0,0.5000,0,1
106,6,0.4440,0.2224,0.1930,0.2778,0,0,0,0.5000,0,1
106,7,0.0677,0.2647,0.2353,0.3210,0,1,0,0.5000,0,1
106,8,-0.2188,0.6673,0.2411,0.2120,0,0,0,0.5000,0,1
106,9,-0.2930,0.8851,0.3200,0.3164,0,0,0,0.5000,0,1
106,10,0.0736,0.2609,0.2932,0.2258,0,0,0,0.5000,0,0
106,11,0.0365,0.5945,0.2434,0.2692,0,0,1,0.5000,0,1
106,12,0.4303,0.0000,0.2833,0.1333,0,1,0,0.5000,0,1
106,13,0.3893,0.0000,0.2553,0.3125,0,1,0,0.5000,0,1
106,14,0.0755,0.2574,0.2273,0.2436,0,0,1,0.5000,0,1
106,15,0.0872,0.2510,0.2143,0.2436,0,0,0,0.5000,0,1
106,16,0.1165,0.2157,0.2072,0.1045,0,1,0,0.5000,0,1
106,17,0.0990,0.0000,0.2689,0.2576,0,0,0,0.5000,1,0
106,18,-0.2695,1.0000,0.3696,0.2431,0,0,0,0.5000,0,0
106,19,0.0697,0.5265,0.3333,0.3030,0,1,0,0.5000,0,1
